;PYTHON LLM LEARNÝNG WÝTH OPENED   05.05.2025;;;;;;;;
;;;;;;;;;
Tarih-------,08.00-18.00--,,,----------------------20.00-22.00------,---------22.00-23.30-----------------------;;;;;;;;;
2025-05-05,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-06,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-07,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-08,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-09,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-10,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-11,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-12,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-13,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-14,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-15,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-16,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-17,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-18,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-19,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-20,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-21,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-22,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-23,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-24,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-25,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
2025-05-26,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-27,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-28,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-29,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-30,Full-time Job,,,Project Work (Yemekza / FootData),YouTube / FM / Relax;;;;;;;;;
2025-05-31,,Cafe Work (Yemekza / FootData),YouTube / FM / Match Watching,Relax / Social / Gaming,;;;;;;;;;
;;;;;;;;;
